timestamp,charge_point_id,message_type,source_id,claimed_source_id,is_verified,message_hash,expected_hash,hash_match,session_id,transaction_id,message_sequence,time_since_last_message,is_replay,is_critical_command,authentication_method,encryption_status,source_ip_match,protocol_version,message_size_bytes,response_time_ms,anomaly_type,label
2025-12-31 17:00:00,CP_004,RemoteStartTransaction,SRC_017,SRC_017,0,cbe77594e176f67c,cbe77594e176f67c,1,SESSION_22817,24098,4,22823.0,1,1,password,TLS1.2,1,OCPP1.6,1776,120.6,replay_attack,1
2026-01-01 00:43:06,CP_014,RemoteStopTransaction,SRC_014,SRC_014,1,6e919f9d0abd0e70,6e919f9d0abd0e70,1,SESSION_26209,72440,55,16.29,0,1,certificate,TLS1.2,1,OCPP1.6,583,125.55,none,0
2026-01-01 05:25:12,CP_009,StatusNotification,SRC_005,SRC_005,1,5956ec0955520389,5956ec0955520389,1,SESSION_19431,68323,883,1.52,0,0,token,TLS1.2,1,OCPP1.6,1312,87.79,none,0
2026-01-01 05:11:25,CP_019,StartTransaction,SRC_003,SRC_003,1,ea46fe503f7ceb4a,ea46fe503f7ceb4a,1,SESSION_98283,80350,532,15.36,0,0,token,TLS1.2,1,OCPP1.6,1337,103.65,none,0
2026-01-01 04:19:36,CP_012,StatusNotification,SRC_016,SRC_016,1,b3c2e09d8abc23ca,b3c2e09d8abc23ca,1,SESSION_75761,88467,534,8.75,0,0,token,TLS1.2,1,OCPP1.6,1773,167.28,none,0
2026-01-01 00:07:55,CP_009,RemoteStartTransaction,SRC_003,SRC_003,1,ff542813dd785034,ff542813dd785034,1,SESSION_85990,20769,595,8.19,0,1,certificate,TLS1.3,1,OCPP1.6,1781,19.84,none,0
2026-01-01 00:06:36,CP_009,RemoteStopTransaction,SRC_014,SRC_014,1,e58843f210b9651e,e58843f210b9651e,1,SESSION_82830,59482,848,8.96,0,1,certificate,TLS1.3,1,OCPP1.6,655,116.59,none,0
2026-01-01 02:27:20,CP_019,ChangeConfiguration,SRC_005,SRC_005,1,b435a13ddd6d6b58,b435a13ddd6d6b58,1,SESSION_68081,35840,340,6.05,0,1,token,TLS1.3,1,OCPP1.6,954,196.41,none,0
2026-01-01 08:03:28,CP_016,RemoteStopTransaction,SRC_014,SRC_014,0,93365c3d8e2cd337,72f012ab2d540d03,0,SESSION_61585,87148,722,11.0,0,1,token,TLS1.3,1,OCPP1.6,473,175.73,message_tampering,1
2026-01-01 09:39:01,CP_004,Reset,SRC_FAKE_007,SRC_018,0,424f0e47276f97de,424f0e47276f97de,1,SESSION_49883,84146,159,19.11,0,1,none,TLS1.2,0,OCPP1.6,1064,92.93,fake_source_id,1
2025-12-31 23:00:00,CP_006,Reset,SRC_008,SRC_008,0,11484a06b4ef4918,11484a06b4ef4918,1,SESSION_42924,85848,53,4597.9,1,1,token,TLS1.2,1,OCPP1.6,851,52.45,replay_attack,1
2026-01-01 03:39:12,CP_020,RemoteStopTransaction,SRC_016,SRC_016,1,4897f83f99dd24bc,4897f83f99dd24bc,1,SESSION_82268,55240,36,20.16,0,1,token,TLS1.3,1,OCPP1.6,1076,91.89,none,0
2026-01-01 02:27:20,CP_006,Reset,SRC_020,SRC_020,1,72803560a9dfe988,72803560a9dfe988,1,SESSION_57853,42784,614,14.32,0,1,token,TLS1.3,1,OCPP1.6,1851,70.45,none,0
2026-01-01 05:00:38,CP_009,DataTransfer,SRC_009,SRC_009,1,e771234bd12c4798,e771234bd12c4798,1,SESSION_19288,66393,331,20.24,0,0,token,TLS1.2,1,OCPP1.6,1618,102.6,none,0
2026-01-01 00:33:00,CP_005,Heartbeat,SRC_020,SRC_020,0,76cf8bb151d21677,76cf8bb151d21677,1,SESSION_91638,42810,981,11.58,0,0,certificate,broken,1,OCPP2.0_fake,37397,115.14,protocol_manipulation,1
2026-01-01 00:43:28,CP_014,FirmwareStatusNotification,SRC_019,SRC_019,1,ba9b8a12d884291f,ba9b8a12d884291f,1,SESSION_96613,16317,908,2.43,0,0,password,TLS1.2,1,OCPP1.6,1877,142.29,none,0
2026-01-01 07:35:06,CP_003,UnlockConnector,SRC_FAKE_005,SRC_002,0,963e1b7bce4d14bc,963e1b7bce4d14bc,1,SESSION_59887,39763,301,17.75,0,1,none,TLS1.2,0,OCPP1.6,403,163.74,fake_source_id,1
2026-01-01 00:16:45,CP_020,RemoteStopTransaction,SRC_006,SRC_006,1,f80232b52b01c47f,f80232b52b01c47f,1,SESSION_82745,42613,227,16.23,0,1,token,TLS1.3,1,OCPP1.6,220,82.79,none,0
2026-01-01 10:59:24,CP_012,RemoteStopTransaction,SRC_006,SRC_006,0,9e797f995a8cf984,9e797f995a8cf984,1,SESSION_68116,93283,241,14.45,0,1,expired_token,TLS1.2,0,OCPP1.6,1299,122.75,identity_spoofing,1
2026-01-01 00:56:06,CP_020,ChangeConfiguration,SRC_010,SRC_010,1,5c76a66660ebe9bb,5c76a66660ebe9bb,1,SESSION_45049,88674,305,23.01,0,1,certificate,TLS1.3,1,OCPP1.6,770,137.55,none,0
2026-01-01 01:24:06,CP_006,StatusNotification,SRC_015,SRC_015,1,6e669d6fc4fae45a,6e669d6fc4fae45a,1,SESSION_84303,26999,482,11.11,0,0,certificate,TLS1.3,1,OCPP1.6,868,15.57,none,0
2026-01-01 01:23:24,CP_013,UnlockConnector,SRC_010,SRC_010,1,9205da2bd89e041b,9205da2bd89e041b,1,SESSION_36471,35479,206,10.85,0,1,token,TLS1.2,1,OCPP1.6,344,33.15,none,0
2026-01-01 01:59:23,CP_011,MeterValues,SRC_020,SRC_020,1,f55671d9b47d99e4,f55671d9b47d99e4,1,SESSION_12572,27965,581,2.84,0,0,token,TLS1.2,1,OCPP1.6,1788,125.04,none,0
2026-01-01 13:59:46,CP_001,ChangeConfiguration,SRC_015,SRC_015,0,baa732564e3426a9,baa732564e3426a9,1,SESSION_88593,57812,187,16.54,0,1,none,weak,0,OCPP1.6,1707,1.3,message_injection,1
2026-01-01 05:47:12,CP_003,FirmwareStatusNotification,SRC_010,SRC_010,1,b2af5a6a062c670a,b2af5a6a062c670a,1,SESSION_52723,64906,94,12.64,0,0,password,TLS1.2,1,OCPP1.6,1206,102.73,none,0
2026-01-01 07:25:54,CP_004,Authorize,SRC_014,SRC_014,1,82bc958bf34b76dc,82bc958bf34b76dc,1,SESSION_68720,97328,831,6.52,0,0,certificate,TLS1.3,1,OCPP1.6,195,117.54,none,0
